squareMeters,numberOfRooms,hasYard,hasPool,floors,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,garage,hasStorageRoom,price
36239,8,0,1,24,6,1990,0,1,6679,798,1,"$3,627,708.00"
10500,10,0,1,49,1,2013,1,1,4170,422,0,"$1,057,021.30"
87060,4,0,1,91,10,2000,0,0,6629,512,0,"$8,711,426.00"
66683,5,1,1,6,2,2001,0,0,7473,237,1,"$6,677,649.10"
66569,5,1,1,56,9,2016,1,1,2020,269,1,"$6,667,802.60"
84559,4,0,1,69,7,2000,1,0,3573,918,1,"$8,460,604.00"
28749,5,0,1,53,5,1996,1,0,8113,982,1,"$2,877,997.60"
76091,9,1,0,32,8,2016,1,0,8150,930,0,"$7,614,076.60"
92696,5,1,0,38,2,2021,0,0,1559,957,1,"$9,272,740.10"
46988,7,1,1,27,10,1991,1,1,8339,874,1,"$4,707,341.10"
48062,4,0,1,4,10,2008,1,0,7908,817,1,"$4,809,993.80"
5767,5,1,1,11,3,1998,1,0,2516,307,1,"$586,742.80"
59800,1,0,1,27,9,2021,0,0,5075,864,0,"$5,984,462.10"
54836,1,0,1,53,5,2020,1,0,5278,313,1,"$5,492,532.00"
54318,4,1,1,52,2,1998,1,1,9580,227,1,"$5,444,967.80"
54318,1,1,1,52,2,1998,1,1,9580,227,1,"$5,444,967.80"
70021,6,1,0,28,6,1992,0,1,4480,680,1,"$7,005,572.20"
54368,8,1,1,20,7,2021,0,0,231,223,0,"$5,446,398.10"
31421,2,0,1,68,3,1999,1,1,8949,630,0,"$3,147,829.90"
63053,7,1,1,28,1,1997,0,1,8414,939,1,"$6,315,375.70"
4187,4,0,1,17,6,1994,1,0,186,559,1,"$421,906.40"
33108,2,0,1,83,10,2016,1,0,6250,552,1,"$3,316,069.60"
64393,3,0,0,51,1,1990,1,0,3835,559,0,"$6,441,378.00"
93876,4,0,1,70,1,1999,1,1,4086,494,1,"$9,390,891.90"
67040,9,1,1,22,8,1993,1,0,4817,927,0,"$6,714,247.30"
47938,3,0,0,68,1,2013,0,1,327,352,1,"$4,797,883.30"
39090,4,1,0,74,9,2010,0,0,3572,811,1,"$3,917,691.00"
43609,5,0,0,55,9,2005,0,1,3388,120,1,"$4,364,910.50"
41998,9,1,0,17,1,1990,1,0,6838,828,0,"$4,203,344.00"
36496,8,0,1,47,1,2017,0,1,2768,230,1,"$3,656,368.70"
84016,9,1,0,55,7,2016,1,0,3284,641,0,"$8,410,054.60"
3087,3,1,1,94,10,2005,1,1,5866,199,1,"$321,717.50"
89768,4,1,1,17,9,1993,0,1,2485,864,0,"$8,980,518.30"
30226,9,1,1,87,9,2007,0,0,515,223,0,"$3,039,243.70"
58478,9,0,1,35,10,2016,0,0,8366,979,1,"$5,853,710.60"
66621,10,0,0,89,1,1995,1,1,5024,388,1,"$6,666,403.50"
73314,9,0,1,38,1,2018,0,1,3281,968,0,"$7,336,538.80"
59972,8,0,1,18,8,2021,1,1,8384,226,1,"$6,000,826.10"
71591,5,1,0,58,4,1998,0,0,6486,366,0,"$7,165,980.80"
92462,5,1,1,46,6,2019,1,0,9584,677,0,"$9,257,840.90"
52325,10,1,1,24,5,1992,1,0,8987,808,1,"$5,238,533.20"
67311,8,0,0,10,3,1990,1,1,6928,774,1,"$6,732,249.00"
45050,1,0,1,87,8,2013,1,0,5218,144,0,"$4,508,695.30"
61534,4,1,0,97,5,2001,0,0,9265,755,1,"$6,159,875.10"
84091,3,0,1,72,5,1993,0,0,2668,766,0,"$8,414,104.30"
84091,7,0,1,72,5,1993,0,0,2668,766,0,"$8,414,104.30"
77579,5,1,1,97,1,1999,1,0,4850,144,1,"$7,767,797.90"
25204,6,1,1,37,10,2020,1,0,6560,116,0,"$2,530,488.00"
42059,7,0,1,62,3,2017,1,1,8827,860,1,"$4,212,125.70"
38430,3,0,1,51,4,2021,0,1,1214,289,0,"$3,846,214.10"
7069,7,0,0,89,2,2009,1,1,7499,493,1,"$709,107.90"
34780,10,0,1,9,5,2019,0,1,3033,800,1,"$3,480,536.90"
12757,2,1,0,7,8,2020,1,1,6795,738,0,"$1,277,834.00"
33749,8,0,1,38,7,1999,1,1,1729,616,1,"$3,380,855.90"
600,3,1,0,43,7,2011,1,0,6738,866,0,"$63,402.10"
7239,5,1,0,83,7,1994,1,0,7782,986,0,"$733,776.40"
34919,6,1,1,84,1,1997,0,0,6566,408,0,"$3,499,532.70"
25614,8,0,0,27,1,1994,1,0,700,519,1,"$2,563,970.40"
51434,4,0,0,23,2,2012,1,1,2080,753,0,"$5,146,226.20"
78960,1,0,1,76,4,2015,1,1,7126,974,1,"$7,900,996.50"
70751,2,1,1,41,9,2006,1,0,1506,794,1,"$7,084,110.60"
81870,3,0,1,100,8,2020,0,0,3632,723,1,"$8,198,185.00"
91559,10,0,1,21,2,2007,0,1,788,132,1,"$9,161,130.70"
72098,4,0,1,67,3,2014,1,0,9080,740,1,"$7,216,904.40"
23177,9,0,0,52,1,2003,0,0,2706,648,1,"$2,318,776.30"
39517,5,0,0,85,6,2019,0,1,7618,810,1,"$3,953,491.90"
55232,2,0,0,8,3,1991,0,0,1492,625,0,"$5,524,015.10"
53735,2,0,1,92,7,2006,0,0,8654,290,1,"$5,384,554.60"
67753,7,1,1,78,9,1995,1,1,7480,929,0,"$6,789,580.50"
67753,5,1,1,78,9,1995,1,1,7480,929,0,"$6,789,580.50"
1450,1,0,0,1,9,2018,1,1,1285,869,1,"$146,181.80"
82141,9,1,1,61,7,2019,1,1,8785,968,1,"$8,225,970.90"
17868,4,1,0,35,9,2013,0,0,1718,710,1,"$1,792,308.30"
71397,9,0,0,93,10,1995,1,1,3477,342,0,"$7,145,471.50"
32623,1,0,1,14,6,2003,1,0,4633,126,0,"$3,267,852.30"
23841,2,1,1,25,7,2010,1,1,7590,564,1,"$2,390,804.00"
16495,3,0,0,6,10,1991,1,1,2214,929,1,"$1,650,711.10"
39109,9,1,0,67,3,2002,1,0,1642,139,0,"$3,917,652.20"
65151,3,1,1,3,9,1991,0,0,3218,849,0,"$6,522,781.10"
61484,1,1,0,94,8,2013,1,0,5486,766,0,"$6,154,833.30"
57160,9,1,1,43,8,2002,0,0,4018,836,1,"$5,724,102.20"
13346,9,0,0,57,8,2021,1,1,2525,809,0,"$1,336,414.10"
27351,5,0,0,36,1,1997,1,1,1150,812,1,"$2,738,851.70"
18466,1,0,1,60,2,2020,0,0,2475,568,0,"$1,849,227.00"
45441,10,1,0,66,5,2004,0,1,8121,853,0,"$4,552,319.40"
55933,1,0,0,97,8,2001,1,1,7369,686,1,"$5,599,976.10"
81936,8,0,0,92,1,2011,1,0,6393,734,0,"$8,198,107.10"
18237,2,1,0,74,6,2011,0,0,7173,498,1,"$1,833,338.10"
35631,1,1,0,7,6,2018,1,1,216,775,1,"$3,568,002.80"
99683,9,1,0,77,8,2002,0,1,4034,787,1,"$9,977,000.20"
47664,1,0,0,77,3,2010,1,1,2662,417,0,"$4,770,073.00"
62887,10,0,1,7,3,1993,1,0,292,675,0,"$6,293,710.30"
18470,10,1,1,73,1,2000,1,0,4089,905,1,"$1,852,115.00"
36031,7,1,0,47,8,2001,0,1,9701,514,0,"$3,612,495.10"
22776,9,0,0,5,9,1993,0,1,2422,544,1,"$2,278,599.30"
14830,3,1,0,1,10,1992,1,0,6151,243,0,"$1,487,488.20"
43944,1,1,0,69,5,2012,0,1,7466,735,1,"$4,403,326.20"
73062,9,1,1,38,8,2016,0,0,9823,728,1,"$7,313,447.60"
84284,1,0,0,39,1,1998,0,0,4500,480,0,"$8,432,554.80"
9619,6,1,0,91,5,1991,0,1,1069,927,0,"$969,806.10"
11410,6,0,1,96,3,2019,0,1,1466,933,1,"$1,150,663.90"
29855,7,0,0,23,5,2000,0,1,3861,204,0,"$2,987,645.00"
46716,4,0,0,58,5,2008,0,1,1361,409,0,"$4,674,140.80"
77046,7,1,0,85,2,1992,0,1,8135,648,0,"$7,714,235.20"
58855,10,0,0,66,7,2004,0,1,2267,531,0,"$5,892,518.40"
69165,8,1,0,74,4,2009,1,1,1543,939,1,"$6,926,290.90"
57915,6,0,1,84,4,2007,1,1,3394,640,0,"$5,800,324.70"
66279,8,1,0,9,2,2003,0,1,5079,128,0,"$6,631,365.30"
16068,1,1,0,13,8,1991,1,1,8893,463,0,"$1,611,707.10"
74325,1,1,1,58,10,1994,0,1,4008,275,0,"$7,443,433.40"
35742,2,1,1,47,1,2014,1,1,1732,243,0,"$3,581,003.40"
9026,1,1,0,28,5,2000,1,0,779,482,0,"$904,797.00"
16899,5,0,1,14,4,2020,0,1,5710,302,1,"$1,693,690.00"
99854,1,0,0,64,8,2009,0,1,4827,918,0,"$9,989,598.90"
33743,9,1,1,29,8,2006,0,1,7330,345,0,"$3,382,812.60"
72798,5,1,1,30,3,2007,0,0,2209,637,0,"$7,290,431.70"
86492,7,0,0,86,7,1992,1,0,7843,463,0,"$8,654,049.20"
38937,5,0,1,77,6,2013,1,1,1312,794,0,"$3,901,433.30"
24762,5,0,1,62,10,1999,1,1,5264,502,1,"$2,480,900.90"
91047,6,0,0,65,2,1999,0,0,7241,757,1,"$9,109,264.90"
55527,3,0,1,44,2,2005,0,1,9385,786,1,"$5,557,814.50"
70606,8,1,1,79,3,2017,1,0,4927,197,0,"$7,070,662.70"
67327,6,0,0,87,3,1990,0,1,1097,964,0,"$6,741,466.00"
6125,9,0,1,29,2,2012,1,1,6423,846,0,"$615,143.20"
71833,6,0,1,51,5,2013,0,0,3772,580,1,"$7,185,318.30"
20811,4,1,1,71,4,1995,0,1,112,586,0,"$2,090,690.50"
7643,3,0,0,63,3,1999,1,0,2142,983,1,"$765,618.90"
16669,10,1,1,81,3,2007,0,1,6109,239,1,"$1,676,719.70"
84006,6,1,1,97,7,2000,1,0,9698,837,0,"$8,409,827.00"
34059,3,0,0,90,8,1993,0,1,4138,347,0,"$3,412,619.30"
36131,7,0,0,88,8,1991,1,0,1046,331,0,"$3,620,939.10"
8201,2,1,1,66,2,2007,0,0,4949,185,1,"$826,967.70"
38398,6,0,0,22,8,1994,1,0,1618,404,0,"$3,842,545.40"
38833,7,0,0,14,3,2014,1,1,1828,462,1,"$3,884,619.40"
41488,1,0,0,59,1,2013,0,1,2090,650,0,"$4,151,539.30"
5205,9,0,0,15,3,2005,0,0,8342,742,0,"$521,650.50"
45066,3,0,0,62,5,2013,0,0,7092,924,1,"$4,508,367.30"
63875,5,1,1,14,3,1999,1,0,4139,152,0,"$6,394,774.90"
25052,10,0,0,94,6,2020,0,1,718,703,0,"$2,515,214.00"
51457,10,0,1,32,10,2016,0,0,3016,633,1,"$5,150,600.60"
84396,9,0,0,96,7,2015,1,1,7416,593,1,"$8,449,333.50"
64920,3,0,1,63,8,2016,1,0,2287,426,1,"$6,501,809.60"
9166,7,1,0,16,1,2015,1,1,6838,842,1,"$922,847.50"
85558,4,1,0,83,9,2017,0,1,7997,374,1,"$8,568,781.70"
87267,1,1,0,81,10,2019,0,0,6899,666,1,"$8,731,940.90"
96091,8,0,1,24,3,1999,0,0,6546,373,0,"$9,615,021.90"
38003,1,1,0,6,10,2008,0,0,9981,129,0,"$3,803,545.80"
83120,4,0,1,68,6,2015,0,1,15,481,0,"$8,318,749.50"
20468,4,1,0,34,4,2003,0,1,9659,802,0,"$2,049,846.30"
75152,1,1,0,37,3,2018,1,0,4717,412,0,"$7,518,709.80"
32688,7,1,1,18,5,2013,0,1,9089,398,1,"$3,274,057.30"
45868,5,1,1,69,7,1994,1,1,7668,216,0,"$4,600,708.40"
73900,1,0,1,36,3,2018,0,0,9847,140,1,"$7,394,635.80"
16000,1,1,1,25,4,2007,0,1,7228,138,0,"$1,606,948.70"
1423,2,0,1,30,4,1993,1,1,3900,879,0,"$149,234.30"
29951,3,1,1,13,8,1995,1,1,5692,762,0,"$3,002,371.50"
40231,4,0,1,41,5,1999,0,0,5700,758,1,"$4,030,226.90"
59517,7,1,0,69,8,2003,1,0,6831,727,1,"$5,958,698.30"
98969,2,1,0,69,8,2003,0,0,3744,992,1,"$9,902,968.30"
99177,8,0,0,41,10,2021,1,1,6326,429,1,"$9,919,217.10"
89157,3,0,0,42,6,2009,0,1,3510,290,1,"$8,920,282.90"
67429,5,0,1,24,7,1991,1,0,3578,858,1,"$6,749,654.10"
38431,10,1,0,60,3,2020,1,0,4121,374,0,"$3,848,467.00"
72495,8,1,1,59,10,1994,1,0,3413,254,1,"$7,259,025.40"
85362,8,1,0,19,5,1997,0,0,7728,186,1,"$8,541,211.70"
28597,6,0,0,47,9,1990,0,0,4492,714,0,"$2,863,386.00"
13687,8,1,1,93,5,2001,1,1,4148,590,0,"$1,376,329.10"
50479,5,0,1,73,9,2020,0,0,4149,188,0,"$5,057,657.00"
98121,2,0,1,57,4,1995,0,1,6028,275,0,"$9,817,494.50"
57736,3,0,0,21,6,1999,0,1,6099,588,0,"$5,775,940.90"
30356,4,0,0,85,1,1992,0,0,7660,551,0,"$3,039,209.20"
21141,5,0,1,80,3,1998,1,1,169,697,1,"$2,126,023.80"
98122,4,0,0,7,4,2009,0,1,7125,186,1,"$9,813,433.90"
34746,2,1,0,15,5,2000,0,0,2840,377,0,"$3,478,332.00"
17297,5,1,1,19,5,2012,1,1,3216,243,1,"$1,738,971.20"
80324,10,1,1,7,2,1993,1,1,325,109,0,"$8,039,714.30"
15815,1,1,1,2,1,2019,1,0,637,552,0,"$1,585,031.90"
1066,4,1,1,46,9,2017,0,1,2723,524,1,"$114,605.70"
79275,10,0,1,67,9,1995,0,1,3689,132,1,"$7,930,383.50"
20658,6,1,1,48,10,1997,0,0,8080,341,1,"$2,076,936.70"
8687,1,0,1,64,6,1993,1,1,7414,710,1,"$877,525.30"
69638,10,1,1,63,2,1991,1,0,4703,937,1,"$6,977,654.10"
94036,8,0,0,19,9,2001,1,1,5913,986,0,"$9,406,163.10"
60889,6,0,0,87,8,2018,1,0,7437,131,0,"$6,091,341.80"
11680,5,0,0,14,1,1992,1,0,7478,921,1,"$1,169,431.20"
11458,9,1,1,31,5,2010,1,0,1365,321,0,"$1,154,040.00"
20397,8,0,0,79,7,1997,0,0,705,898,1,"$2,042,985.70"
83206,7,1,0,51,9,1999,1,0,9170,327,0,"$8,326,302.90"
8951,9,1,0,63,10,1997,1,0,6189,626,0,"$904,889.70"
22854,8,1,0,89,7,2001,0,1,6216,481,1,"$2,292,467.10"
46042,1,0,0,74,8,2015,1,0,65,946,0,"$4,605,791.50"
93506,3,1,0,28,9,2017,1,0,5297,306,1,"$9,356,982.70"
58748,5,0,0,40,5,2010,0,1,1627,639,0,"$5,875,981.00"
715,2,0,0,23,3,2010,0,1,8609,740,1,"$74,252.00"
55327,8,1,0,59,2,1993,1,1,7163,504,1,"$5,540,589.30"
63631,8,1,0,12,10,2000,0,0,239,411,1,"$6,369,055.00"
77915,6,0,0,21,10,2018,0,1,1081,448,0,"$7,793,915.80"
91804,8,0,0,81,9,1999,0,1,8554,930,1,"$9,182,083.90"
57295,8,0,0,69,2,1994,1,1,9771,951,1,"$5,731,510.40"
61057,2,1,0,77,8,1998,1,0,9762,369,1,"$6,114,671.80"
91626,7,1,0,55,5,1991,1,1,2684,101,1,"$9,169,068.10"
29356,3,1,1,46,9,1990,1,1,1780,413,1,"$2,948,071.00"
27134,4,1,0,2,7,2003,0,0,3718,357,1,"$2,715,604.30"
1682,3,1,0,79,3,2017,0,1,2590,659,1,"$174,918.70"
98868,8,0,1,67,3,2021,1,1,2146,623,1,"$9,892,300.10"
23898,5,1,0,93,9,1996,0,1,8256,136,0,"$2,399,286.60"
83110,7,1,0,75,10,2001,1,0,4108,380,1,"$8,321,631.10"
71154,1,0,1,53,6,2021,1,1,8418,706,0,"$7,122,699.10"
90841,7,1,0,15,5,2003,0,0,3333,842,0,"$9,086,177.30"
68416,9,1,0,48,7,2010,0,0,1811,424,0,"$6,846,709.00"
47585,1,0,0,5,1,1993,1,1,5101,639,0,"$4,759,724.30"
28452,4,1,0,40,10,2006,1,1,388,566,1,"$2,850,377.60"
15630,8,1,0,4,3,1996,1,0,7084,225,1,"$1,565,985.60"
65900,3,1,1,99,5,2017,0,1,2637,452,0,"$6,605,894.70"
21600,6,1,0,56,8,2000,0,1,3129,236,1,"$2,166,421.00"
74704,3,0,0,22,9,1992,1,0,7463,347,0,"$7,472,587.20"
87291,8,1,1,42,3,2017,0,1,6214,596,1,"$8,739,254.70"
96687,6,0,1,81,4,2012,0,1,2438,695,1,"$9,673,884.20"
60567,6,1,1,100,6,2019,1,0,7010,993,1,"$6,071,330.90"
4872,3,0,0,74,6,1990,1,0,5851,473,0,"$489,455.00"
9157,6,1,0,53,10,2009,0,0,6401,488,0,"$922,102.90"
65217,4,1,1,39,8,2019,0,1,1374,804,0,"$6,531,999.90"
87346,6,1,1,82,9,1990,0,1,5792,947,1,"$8,743,241.00"
47701,8,1,0,46,5,2001,1,0,5447,610,0,"$4,773,352.10"
14766,10,0,1,79,1,2001,0,0,8031,643,0,"$1,488,265.10"
94841,10,1,1,75,5,1998,1,1,3157,585,1,"$9,498,026.80"
59318,9,0,0,91,8,2002,0,0,9413,425,1,"$5,939,275.20"
1796,8,0,0,4,1,1997,0,1,8360,142,0,"$180,265.70"
96526,6,1,1,34,2,2020,0,1,2131,680,1,"$9,661,068.00"
62876,3,0,0,9,8,2006,0,0,338,740,1,"$6,288,117.60"
59558,8,1,1,89,3,2012,0,0,9174,712,1,"$5,967,916.20"
97008,6,0,1,4,5,2014,1,1,8321,369,1,"$9,703,551.40"
66746,7,1,0,10,3,1997,0,0,1567,378,1,"$6,678,869.70"
25776,4,0,0,93,9,2002,0,0,688,954,1,"$2,582,235.20"
96195,8,0,1,64,4,2018,1,1,3874,892,0,"$9,626,665.80"
4805,6,1,1,99,5,1995,0,1,2788,839,1,"$486,824.50"
23045,6,1,0,75,5,1990,0,1,651,607,0,"$2,312,202.00"
95441,10,0,1,65,10,2017,1,1,2841,404,1,"$9,554,998.70"
28381,2,1,0,64,2,2009,1,0,6737,502,1,"$2,847,241.90"
15731,6,1,1,37,2,2003,0,1,7361,277,0,"$1,582,940.30"
18966,6,1,0,25,4,2019,1,1,2327,823,0,"$1,902,151.90"
24393,1,1,1,16,8,2019,0,0,4080,619,1,"$2,449,464.90"
53339,1,0,0,11,1,2013,1,0,368,312,0,"$5,335,546.30"
44053,4,1,0,55,3,2004,1,0,6586,258,0,"$4,413,295.40"
70898,6,0,0,92,1,1994,0,0,4848,942,1,"$7,091,863.40"
84483,7,1,0,85,3,2019,1,0,6052,651,1,"$8,452,134.90"
35716,6,1,0,52,2,2013,1,1,8821,991,0,"$3,574,932.30"
64693,3,0,0,81,9,2013,0,0,7506,687,0,"$6,471,378.30"
32593,8,1,0,94,9,2006,0,0,2261,871,1,"$3,265,750.60"
1607,9,1,1,52,8,2020,1,0,2844,878,0,"$173,112.00"
39484,9,0,1,30,4,1991,1,0,3172,172,1,"$3,954,971.10"
32458,7,1,1,20,3,2015,0,0,8462,523,1,"$3,253,846.50"
72243,7,0,1,23,1,2004,1,1,4431,752,1,"$7,229,477.40"
20624,10,1,0,83,2,1996,0,0,318,606,0,"$2,070,369.60"
7443,4,1,0,41,8,2005,0,0,3249,503,0,"$748,338.50"
78382,3,0,0,14,1,2020,1,1,8751,985,1,"$7,840,062.00"
70614,9,1,1,100,5,2010,1,1,4845,991,0,"$7,075,926.00"
32235,1,1,0,10,6,2016,1,0,7388,488,0,"$3,225,143.60"
2523,4,1,1,67,10,2015,1,1,150,949,1,"$260,710.50"
87864,8,0,0,77,4,2019,1,1,7834,745,0,"$8,790,481.90"
18316,3,0,0,3,5,1991,1,0,5804,846,1,"$1,832,673.10"
94471,4,1,1,79,1,2011,0,1,1327,285,0,"$9,454,072.10"
60704,2,1,1,29,10,2004,0,0,4505,847,1,"$6,080,655.40"
54020,4,1,0,64,3,2013,0,0,8767,882,1,"$5,406,334.30"
59612,6,1,0,56,7,2017,1,1,5616,914,1,"$5,967,739.70"
56467,7,0,0,41,2,1990,1,0,2743,815,0,"$5,649,094.00"
65625,5,0,1,36,10,2015,0,1,774,958,1,"$6,567,597.50"
41570,5,0,1,98,4,2014,1,1,3573,486,1,"$4,167,932.40"
44862,2,0,1,68,5,1992,0,0,9383,631,0,"$4,493,882.20"
47212,2,1,1,81,4,2001,0,0,7210,159,0,"$4,734,236.10"
2840,2,1,0,26,4,2004,1,0,6848,294,1,"$288,797.40"
40465,3,0,0,100,9,2004,0,0,6327,403,1,"$4,052,600.40"
17191,10,1,1,29,5,1995,1,0,3192,716,1,"$1,728,829.50"
56480,6,1,0,80,3,2016,0,0,8211,532,0,"$5,653,048.60"
70503,6,0,0,29,6,2021,1,0,6819,948,0,"$7,051,701.10"
4885,2,0,0,54,8,1993,0,0,9519,718,0,"$493,693.30"
58263,3,1,1,57,10,2006,0,1,7942,786,1,"$5,840,294.60"
47647,10,0,1,6,2,2002,1,1,3220,171,1,"$4,768,169.20"
57916,9,0,0,24,1,1998,0,1,3831,356,1,"$5,792,783.80"
6396,3,0,0,40,6,2005,1,0,413,682,0,"$643,620.50"
41972,3,0,1,49,7,1995,1,0,842,846,0,"$4,206,464.50"
94311,5,1,0,47,1,2007,0,1,3619,868,0,"$9,439,790.70"
10714,3,0,1,98,6,1996,0,1,2598,631,1,"$1,075,982.60"
11259,3,0,1,82,4,2010,1,0,902,125,1,"$1,134,964.00"
3534,4,1,1,13,1,2003,0,1,5811,900,0,"$359,850.30"
52680,7,0,1,79,4,1991,0,1,5687,242,0,"$5,274,696.10"
62711,8,0,0,29,10,2007,0,1,4484,329,0,"$6,272,944.70"
19268,3,1,0,77,5,2010,1,0,1133,357,1,"$1,938,014.00"
36119,2,1,0,46,4,2019,0,1,3958,889,1,"$3,620,813.90"
28394,4,0,0,7,8,2003,0,1,63,328,0,"$2,840,816.30"
20392,3,1,0,84,5,2007,0,1,1256,171,1,"$2,046,763.70"
7259,3,1,1,39,4,2014,0,0,6482,537,0,"$735,079.40"
28183,7,0,0,52,2,1993,1,1,2798,525,1,"$2,821,593.30"
92188,1,0,1,95,2,1996,1,1,61,693,0,"$9,227,140.60"
29815,10,0,0,77,7,1995,0,1,3530,663,0,"$2,989,048.50"
50219,7,1,0,54,6,2003,0,1,8051,965,1,"$5,025,975.30"
1722,6,0,1,84,8,2002,1,0,6240,497,1,"$182,838.20"
70399,1,0,1,85,5,2013,0,1,8009,255,0,"$7,048,784.30"
28790,4,1,0,15,6,2021,1,1,1238,218,0,"$2,883,447.10"
92962,9,1,1,37,1,2000,1,0,6581,315,0,"$9,304,587.00"
34245,3,1,0,85,4,2010,1,1,251,918,1,"$3,430,728.00"
54677,10,1,1,94,10,1996,1,0,1236,537,1,"$5,477,618.60"
74227,10,1,0,5,7,2000,1,0,4609,378,0,"$7,427,853.00"
94939,7,1,1,48,10,2009,1,0,9164,351,1,"$9,503,765.90"
48884,6,1,0,32,7,2010,1,0,311,729,0,"$4,895,277.00"
10638,8,0,0,33,4,2016,0,1,3142,138,1,"$1,066,200.60"
90315,1,1,1,91,7,1994,1,1,5604,490,1,"$9,044,477.40"
17633,6,0,0,83,2,2013,1,0,1644,162,1,"$1,767,487.30"
63242,2,0,1,18,10,2017,0,1,6932,340,1,"$6,327,623.70"
79344,7,1,1,42,3,1991,1,0,8088,744,1,"$7,945,562.10"
72093,3,0,1,92,1,2005,1,0,4805,148,0,"$7,223,902.50"
13378,5,1,0,9,1,2001,1,1,8171,488,0,"$1,342,476.10"
47019,2,0,1,9,4,2020,0,0,2005,694,1,"$4,706,162.00"
34666,10,1,1,14,2,2002,1,1,9405,186,1,"$3,477,313.20"
93509,8,1,1,62,2,1992,1,1,72,731,1,"$9,361,261.20"
13583,2,1,0,32,2,2015,1,1,4519,911,0,"$1,364,589.50"
19649,2,0,1,83,4,1999,1,0,595,795,1,"$1,970,018.90"
141,6,0,1,58,4,1997,1,0,3411,213,0,"$22,670.70"
22821,2,1,1,14,8,1993,1,1,2060,491,1,"$2,289,134.30"
533,6,1,1,55,8,2021,1,1,654,301,0,"$65,465.10"
67020,9,1,1,38,7,2015,0,0,3647,640,0,"$6,711,051.50"
49094,1,1,0,49,2,2021,0,1,4934,625,1,"$4,916,616.10"
25269,5,0,0,92,7,2019,1,1,3464,693,1,"$2,530,193.90"
71989,5,0,0,77,3,2003,0,0,7290,337,1,"$7,204,744.30"
73180,8,1,1,54,7,2011,0,0,3340,784,1,"$7,325,717.10"
18926,5,1,1,84,4,1998,1,0,5353,442,1,"$1,908,217.80"
6492,4,0,0,88,3,2018,1,0,2655,372,0,"$652,565.80"
98045,5,1,1,8,5,2002,0,0,9321,570,1,"$9,814,193.20"
51589,8,0,1,43,10,1998,1,0,7867,819,1,"$5,167,451.80"
